# Energies_eV	Pt-foil-5mu
12086.99	1.83979
12087.99	1.83973
12088.99	1.83904
12089.99	1.83766
12090.99	1.83728
12091.99	1.83725
12092.99	1.8373
12093.99	1.83781
12094.99	1.83776
12095.99	1.83791
12096.99	1.8363
12097.99	1.83425
12098.99	1.83303
12099.99	1.83362
12100.99	1.83267
12101.99	1.83125
12102.99	1.82897
12103.99	1.82795
12104.99	1.82747
12105.99	1.82722
12106.99	1.82505
12107.99	1.82363
12108.99	1.82348
12109.99	1.82278
12110.99	1.82235
12111.99	1.82191
12112.99	1.82096
12113.99	1.81958
12114.99	1.81809
12115.99	1.81834
12116.99	1.81924
12117.99	1.8189
12118.99	1.81764
12119.99	1.8172
12120.99	1.81658
12121.99	1.81619
12122.99	1.81303
12123.99	1.81255
12124.99	1.81173
12125.99	1.81074
12126.99	1.80969
12127.99	1.81033
12128.99	1.80891
12129.99	1.80733
12130.99	1.80553
12131.99	1.80585
12132.99	1.80518
