# Energies_eV	Fe-powdre_3.2mg/cm2
7503.45	1.19317
7504.45	1.19345
7505.45	1.1934
7506.45	1.19377
7507.45	1.19422
7508.45	1.19239
7509.45	1.19105
7510.45	1.19072
7511.45	1.19135
7512.45	1.19083
7513.45	1.19041
7514.45	1.19011
7515.45	1.1896
7516.45	1.18882
7517.45	1.18833
7518.45	1.18778
7519.45	1.18729
7520.45	1.18721
7521.45	1.18703
7522.45	1.18621
7523.45	1.18474
7524.45	1.18401
7525.45	1.18392
7526.45	1.18456
7527.45	1.18548
7528.45	1.18497
7529.45	1.18479
7530.45	1.18504
7531.45	1.18358
7532.45	1.18307
7533.45	1.18376
7534.45	1.18326
7535.45	1.18262
7536.45	1.18371
7537.45	1.18273
7538.45	1.18226
7539.45	1.18165
7540.45	1.17984
7541.45	1.17905
7542.45	1.17873
7543.45	1.17929
7544.45	1.17831
7545.45	1.17767
7546.45	1.17775
7547.45	1.17675
7548.45	1.17638
7549.45	1.17667
7550.45	1.1776
7551.45	1.17582
7552.45	1.17443
7553.45	1.17602
7554.45	1.17771
7555.45	1.17805
7556.45	1.17812
7557.45	1.17769
7558.45	1.17812
7559.45	1.17883
7560.45	1.17844
7561.45	1.17987
7562.45	1.18012
7563.45	1.17922
7564.45	1.17914
7565.45	1.17839
7566.45	1.17804
7567.45	1.17759
7568.45	1.17579
7569.45	1.17441
7570.45	1.17371
7571.45	1.173
7572.45	1.17223
7573.45	1.17137
7574.45	1.16963
7575.45	1.16894
7576.45	1.1687
7577.45	1.16707
7578.45	1.16614
7579.45	1.16519
7580.45	1.16357
7581.45	1.16107
7582.45	1.16099
7583.45	1.16014
7584.45	1.15735
7585.45	1.15697
7586.45	1.15588
7587.45	1.15452
7588.45	1.15298
7589.45	1.15185
7590.45	1.15194
7591.45	1.15279
7592.45	1.1528
7593.45	1.15176
7594.45	1.14978
7595.45	1.14794
7596.45	1.147
7597.45	1.14807
7598.45	1.14883
7599.45	1.14733
7600.45	1.14635
7601.45	1.14586
7602.45	1.14409
7603.45	1.14285
7604.45	1.14388
7605.45	1.14525
7606.45	1.14426
7607.45	1.14383
7608.45	1.14248
7609.45	1.14025
7610.45	1.13922
7611.45	1.1402
7612.45	1.13999
7613.45	1.13862
7614.45	1.13783
7615.45	1.13898
7616.45	1.139
7617.45	1.13758
7618.45	1.13558
7619.45	1.13455
7620.45	1.13562
7621.45	1.13674
7622.45	1.13625
7623.45	1.135
7624.45	1.13337
7625.45	1.13254
7626.45	1.13262
7627.45	1.13232
7628.45	1.13101
7629.45	1.13045
7630.45	1.13122
7631.45	1.13187
7632.45	1.12998
7633.45	1.12797
7634.45	1.12713
7635.45	1.12724
7636.45	1.12852
7637.45	1.12833
7638.45	1.12595
7639.45	1.12554
7640.45	1.12397
7641.45	1.12203
7642.45	1.12121
7643.45	1.12243
7644.45	1.12242
7645.45	1.12079
7646.45	1.11939
7647.45	1.11824
7648.45	1.11816
7649.45	1.11844
7650.45	1.11711
7651.45	1.11652
7652.45	1.11693
7653.45	1.11602
7654.45	1.11505
7655.45	1.11653
7656.45	1.11687
7657.45	1.11559
7658.45	1.11471
7659.45	1.1143
7660.45	1.11311
7661.45	1.11292
7662.45	1.11397
7663.45	1.11371
7664.45	1.11208
7665.45	1.11129
7666.45	1.11289
7667.45	1.11239
7668.45	1.11092
7669.45	1.11159
7670.45	1.11327
7671.45	1.11318
7672.45	1.11114
7673.45	1.11019
7674.45	1.10979
7675.45	1.10996
7676.45	1.11021
7677.45	1.11107
7678.45	1.10973
7679.45	1.10733
7680.45	1.10762
7681.45	1.10762
7682.45	1.10793
