Energies_eV	Nifoil2mu_03_26
7501.695	0.144214849257399
7501.945	0.142766926288676
7502.195	0.142597845204237
7502.445	0.14165825955719
7502.695	0.141750054901613
7502.945	0.140388277825886
7503.195	0.139057489191375
7503.445	0.139852387449543
7503.695	0.14062729684619
7503.945	0.141357316268114
7504.195	0.142345522943848
7504.445	0.142887680914036
7504.695	0.143940260296518
7504.945	0.144054960412165
7505.195	0.143177622873746
7505.445	0.143048606851999
7505.695	0.14255311987106
7505.945	0.142273624169518
7506.195	0.142063531999292
7506.445	0.141505548630243
7506.695	0.141057835982732
7506.945	0.14037820670327
7507.195	0.140934739230605
7507.445	0.139989490603258
7507.695	0.139607137914583
7507.945	0.139648189750021
7508.195	0.139094112954863
7508.445	0.14003181981237
7508.695	0.140509946550823
7508.945	0.140647384520682
7509.195	0.140239752714702
