# Energies_eV	Pt-foil-5mu
10426.99	1.10572
10427.99	1.10724
10428.99	1.10396
10429.99	1.09892
10430.99	1.09587
10431.99	1.09875
10432.99	1.10242
10433.99	1.10021
10434.99	1.09645
10435.99	1.09943
10436.99	1.10232
10437.99	1.09892
10438.99	1.09602
10439.99	1.09803
10440.99	1.09885
10441.99	1.09968
10442.99	1.09889
10443.99	1.09656
10444.99	1.09931
10445.99	1.10237
10446.99	1.097
10447.99	1.09551
10448.99	1.09763
10449.99	1.09964
10450.99	1.09964
10451.99	1.09725
10452.99	1.09459
10453.99	1.08965
10454.99	1.09084
10455.99	1.09378
10456.99	1.09537
10457.99	1.09427
10458.99	1.09775
10459.99	1.09668
10460.99	1.09327
10461.99	1.09072
10462.99	1.09282
10463.99	1.09334
10464.99	1.09201
10465.99	1.09247
10466.99	1.09343
10467.99	1.09014
10468.99	1.08471
10469.99	1.08452
10470.99	1.09352
10471.99	1.09516
10472.99	1.09482
10473.99	1.09195
10474.99	1.08809
10475.99	1.08903
10476.99	1.08924
10477.99	1.08874
10478.99	1.08716
10479.99	1.08511
10480.99	1.08381
10481.99	1.08617
10482.99	1.08647
10483.99	1.08514
10484.99	1.08243
10485.99	1.08524
10486.99	1.08849
10487.99	1.08775
10488.99	1.08755
10489.99	1.08317
10490.99	1.0816
10491.99	1.08271
10492.99	1.0862
10493.99	1.089
10494.99	1.08575
10495.99	1.0799
10496.99	1.08155
10497.99	1.08245
10498.99	1.08114
10499.99	1.08019
10500.99	1.07915
10501.99	1.07457
10502.99	1.07463
10503.99	1.08005
10504.99	1.08206
10505.99	1.08078
10506.99	1.08005
10507.99	1.07884
10508.99	1.07803
10509.99	1.07557
10510.99	1.07358
10511.99	1.07436
10512.99	1.07555
10513.99	1.07668
10514.99	1.07698
10515.99	1.07267
10516.99	1.0731
10517.99	1.07597
10518.99	1.07952
10519.99	1.07375
10520.99	1.07313
10521.99	1.0719
10522.99	1.07071
10523.99	1.071
10524.99	1.07475
10525.99	1.07622
10526.99	1.07459
10527.99	1.07375
10528.99	1.07305
10529.99	1.0739
10530.99	1.07217
10531.99	1.07101
10532.99	1.07208
10533.99	1.07245
10534.99	1.07201
10535.99	1.07176
10536.99	1.06942
10537.99	1.06675
10538.99	1.06672
10539.99	1.07055
10540.99	1.06879
10541.99	1.06529
10542.99	1.06395
10543.99	1.06638
10544.99	1.06819
10545.99	1.0696
10546.99	1.06988
10547.99	1.07088
10548.99	1.0705
10549.99	1.06522
10550.99	1.06369
10551.99	1.06485
10552.99	1.07101
10553.99	1.07086
10554.99	1.06595
10555.99	1.06255
10556.99	1.06245
10557.99	1.06518
10558.99	1.06655
10559.99	1.06248
10560.99	1.05815
