# created: Tue Oct 20 19:07:06 2015
# from file: scan14.txt
# No: 731  [E0: 0,0,0,-1]
#---------------------------------------------------------------------
#       X                  Y
1.9500000000E+001  7.8983469165E-001
1.9502000000E+001  7.8957349010E-001
1.9504000000E+001  7.8915772804E-001
1.9506000000E+001  7.8816511245E-001
1.9508000000E+001  7.8763462164E-001
1.9510000000E+001  7.8852852738E-001
1.9512000000E+001  7.8778194485E-001
1.9514000000E+001  7.8832896522E-001
1.9516000000E+001  7.8818976873E-001
1.9518000000E+001  7.8781049827E-001
1.9520000000E+001  7.8784527417E-001
1.9522000000E+001  7.8713435431E-001
1.9524000000E+001  7.8583238726E-001
1.9526000000E+001  7.8480334280E-001
1.9528000000E+001  7.8339108216E-001
1.9530000000E+001  7.8255977308E-001
1.9532000000E+001  7.8077889205E-001
1.9534000000E+001  7.7841997892E-001
1.9536000000E+001  7.7606067282E-001
1.9538000000E+001  7.7416303547E-001
1.9540000000E+001  7.7194269982E-001
1.9542000000E+001  7.6950678651E-001
1.9544000000E+001  7.6745821684E-001
1.9546000000E+001  7.6614243025E-001
1.9548000000E+001  7.6374775800E-001
1.9550000000E+001  7.6254077083E-001
1.9552000000E+001  7.6075585216E-001
1.9554000000E+001  7.5977696753E-001
1.9556000000E+001  7.5855665843E-001
1.9558000000E+001  7.5784764564E-001
1.9560000000E+001  7.5676416686E-001
1.9562000000E+001  7.5503524154E-001
1.9564000000E+001  7.5400793966E-001
1.9566000000E+001  7.5285212618E-001
1.9568000000E+001  7.5168554584E-001
1.9570000000E+001  7.5113163274E-001
1.9572000000E+001  7.4998294558E-001
1.9574000000E+001  7.4908660494E-001
1.9576000000E+001  7.4834515335E-001
1.9578000000E+001  7.4717728989E-001
1.9580000000E+001  7.4693682202E-001
1.9582000000E+001  7.4660686652E-001
1.9584000000E+001  7.4545092286E-001
1.9586000000E+001  7.4577074219E-001
1.9588000000E+001  7.4563525305E-001
1.9590000000E+001  7.4453377874E-001
1.9592000000E+001  7.4441905410E-001
1.9594000000E+001  7.4377377122E-001
1.9596000000E+001  7.4233321101E-001
1.9598000000E+001  7.4251958970E-001
1.9600000000E+001  7.4163241515E-001
1.9602000000E+001  7.4093151372E-001
1.9604000000E+001  7.3977688339E-001
1.9606000000E+001  7.3924035073E-001
1.9610000000E+001  7.3847858810E-001
1.9614000000E+001  7.3687018268E-001
1.9618000000E+001  7.3546151024E-001
1.9622000000E+001  7.3385461194E-001
1.9626000000E+001  7.3304371885E-001
1.9630000000E+001  7.3177884442E-001
1.9634000000E+001  7.3027457188E-001
1.9638000000E+001  7.2828523746E-001
1.9642000000E+001  7.2599308060E-001
1.9646000000E+001  7.2308664516E-001
1.9650000000E+001  7.1993240602E-001
1.9654000000E+001  7.1758984064E-001
1.9658000000E+001  7.1527600402E-001
1.9662000000E+001  7.1181121314E-001
1.9666000000E+001  7.0930005863E-001
1.9670000000E+001  7.0735415109E-001
1.9674000000E+001  7.0456586291E-001
1.9678000000E+001  7.0279195411E-001
1.9682000000E+001  6.9999844360E-001
1.9686000000E+001  6.9801168697E-001
1.9690000000E+001  6.9557914181E-001
1.9694000000E+001  6.9365255343E-001
1.9698000000E+001  6.9165042076E-001
1.9702000000E+001  6.9014343313E-001
1.9706000000E+001  6.8927762158E-001
1.9710000000E+001  6.8839184909E-001
1.9714000000E+001  6.8695266567E-001
1.9718000000E+001  6.8636142552E-001
1.9722000000E+001  6.8528818285E-001
1.9726000000E+001  6.8359746896E-001
1.9730000000E+001  6.8201482863E-001
1.9734000000E+001  6.8039180295E-001
1.9738000000E+001  6.7871116592E-001
1.9742000000E+001  6.7723170451E-001
1.9746000000E+001  6.7565213640E-001
1.9750000000E+001  6.7378928208E-001
1.9754000000E+001  6.7221179057E-001
1.9758000000E+001  6.7005602241E-001
1.9762000000E+001  6.6851338213E-001
1.9766000000E+001  6.6624476195E-001
1.9770000000E+001  6.6346344820E-001
1.9774000000E+001  6.6186493938E-001
1.9778000000E+001  6.5908025136E-001
1.9782000000E+001  6.5722827975E-001
1.9786000000E+001  6.5458142502E-001
1.9790000000E+001  6.5319221033E-001
1.9794000000E+001  6.4977530683E-001
1.9798000000E+001  6.4801679364E-001
1.9802000000E+001  6.4640252332E-001
1.9806000000E+001  6.4435264983E-001
1.9810000000E+001  6.4199174192E-001
1.9814000000E+001  6.4034552489E-001
1.9818000000E+001  6.3844532356E-001
1.9822000000E+001  6.3700057502E-001
1.9826000000E+001  6.3651212807E-001
1.9830000000E+001  6.3412956084E-001
