# Sample I1 = col 2  I2= col 3, mu = ln(I1/I2), Reference not available
#S 1  zapline mono 16.5279 14.3086 1409 300 
#D Sun Nov 12 17:20:02 2017
#T 300  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 -5.7000169 0 0.2 3.3333333e-07 -1425.473 3 14000 -0.1
#P1 9.043 70 0 4.7300003 0.24 0 0 
#P2 43.155625 45.715313 24.684375 88.871 -1.28 9.483477 39.3 -0.377
#P3 -1.2126797 -3.715 -11.937714 16.403923 -2.2549199 10 38 3.9999997
#P4 34.999994 0 35 0.30307037 0.30304712 -0.0002325 0.30305875 57.213563
#P5 1.0493125 76.568551 4.51 1560 29.8325 51.932812 81.7655 -11.05
#P6 74 14.3086 -568939.53 50 20 0.99752498 17 3.6
#P7 -1.92 -0.3 5 0 14.50866 0 0 
#UMI0     Current AutoM      Shutter    
#UMI1      166.15    ON     FE open     
#UMI2 Refill in 13200 sec, Fill Mode: 7/8 multibunch / Message: Nov 12 09:04 Delivery:Next Refill at 21:00; 
#N 18
#ZapEnergy Mon Ion1 Ion2
7.4062829 68747 30672 27149 
7.4072604 68761 30754 27165 
7.4082456 68769 30767 27268 
7.4092283 68803 30889 27306 
7.4102068 68804 30918 27334 
7.411202 68797 30993 27334 
7.4121976 68815 31109 27443 
7.4131932 68821 31235 27339 
7.4141846 68773 31283 27502 
7.4151764 68802 31312 27400 
7.4161682 68815 31343 27563 
7.4171557 68829 31451 27554 
7.4181433 68805 31536 27573 
7.419136 68815 31584 27607 
7.4201293 68849 31645 27652 
7.4211226 68826 31710 27700 
7.422111 68863 31780 27776 
7.4231005 68889 31792 27451 
7.4240899 68874 31827 27631 
7.4250793 68884 31880 27746 
7.4260645 68883 31949 27755 
7.4270549 68880 32050 27934 
7.42805 68886 32089 27924 
7.4290457 68875 32223 27939 
7.4300437 68895 32199 28075 
7.4310327 68924 32300 27948 
7.432024 68896 32324 28044 
7.4330139 68921 32390 27993 
7.4340105 68901 32410 27986 
7.4350052 68933 32531 28179 
7.4360003 68910 32597 28082 
7.4369979 68943 32652 28296 
7.4379935 69011 32726 28134 
7.4389873 68932 32777 28179 
7.439981 68969 32813 28223 
7.4409657 69021 32970 28310 
7.4419551 68964 32943 28222 
7.4429498 69017 33059 28361 
7.4439402 69007 33010 28251 
7.4449353 69034 33139 28259 
7.4459352 69031 33202 28224 
7.4469357 69019 33247 28225 
7.447927 69020 33280 28327 
7.4489284 68987 33296 28397 
7.449934 68972 33446 28459 
7.4509358 68968 33461 28463 
7.4519329 68948 33493 28561 
7.45293 68932 33527 28551 
7.4539328 68893 33625 28520 
7.4549308 68804 33675 28545 
7.4559336 68483 33565 28466 
7.4569368 67458 33083 28377 
7.4579401 68049 33451 28517 
7.4589396 69125 33995 28667 
7.4599338 69135 34068 28791 
7.4609385 69115 34138 28920 
7.4619474 69090 34183 28804 
7.4629478 69081 34302 28963 
7.463953 69074 34339 28944 
7.4649587 69072 34321 28984 
7.4659643 69070 34402 29005 
7.4669609 69033 34448 29092 
7.4679646 69042 34548 29066 
7.4689736 69034 34588 29187 
7.4699759 69044 34689 29198 
7.4709783 69046 34695 29298 
7.4719858 69097 34843 29280 
7.4729934 69062 34795 29394 
7.4739943 69058 34874 29424 
7.474998 69083 34954 29227 
7.4760065 69052 35043 29526 
7.4770107 69073 35110 29697 
7.4780102 69111 35203 29592 
7.4790125 69083 35303 29623 
7.480022 69115 35358 29700 
7.4810319 69123 35431 29616 
7.4820375 69102 35464 29791 
7.4830432 69151 35599 29853 
7.4840541 69170 35665 29946 
7.4850678 69198 35748 29923 
7.4860673 69188 35804 30020 
7.4870691 69231 35860 30061 
7.4880791 69251 35923 29994 
7.489079 69277 35987 30138 
7.490087 69311 36104 30289 
7.4910998 69313 36186 30277 
7.4921174 69324 36256 30321 
7.4931307 69319 36388 30358 
7.4941349 69351 36443 30499 
7.4951372 69375 36486 30395 
7.496139 69381 36630 30536 
7.4971442 69430 36696 30545 
7.4981613 69488 36785 30636 
7.4991813 69469 36813 30610 
7.5001988 69463 36918 30640 
7.5012097 69455 37018 30688 
7.5022187 69470 37040 30662 
7.5032349 69479 37113 30787 
7.5042415 69465 37144 30911 
7.5052538 69512 37278 30916 
7.5062733 69474 37350 30993 
7.5072904 69487 37382 31022 
7.5083127 69491 37474 31115 
7.5093355 69520 37583 31040 
7.5103588 69501 37607 31062 
7.5113769 69517 37709 31144 
7.5123911 69505 37747 31129 
7.5134006 69523 37879 31225 
7.5144153 69520 37921 31209 
7.51543 69506 38013 31252 
7.5164475 69505 38070 31467 
7.5174699 69472 38139 31470 
7.5184903 69362 38137 31401 
7.5195065 68469 37711 31154 
7.5205202 65569 36220 30620 
7.5215368 67993 37595 31229 
7.5225563 69267 38362 31675 
7.5235705 69388 38494 31750 
7.5245953 69428 38610 31634 
7.5256133 69394 38697 31734 
7.5266261 69448 38717 31749 
7.5276399 69410 38764 31739 
7.5286584 69424 38812 31882 
7.5296817 69416 38902 31833 
7.5307012 69417 38914 31936 
7.5317178 69410 39023 31878 
7.5327425 69416 39124 31923 
7.533772 69407 39151 32172 
7.5347924 69392 39203 32054 
7.5358105 69392 39288 31942 
7.5368314 69412 39394 32088 
7.5378571 69410 39421 32102 
7.5388737 69421 39535 32135 
7.5398932 69400 39488 32285 
