# Sample Noprmalized mu = col 2  
# This file has been produced by extranormal (v 1.0.1 - February 23, 2017)
# O. Roudenko - Synchrotron SOLEIL. Covered by GPL licence.
#Data from HDF File: /nfs/ruche-rock/rock-soleil/com-rock/2019/Projets/20191212_Matthias/References/Mo_foil/Mo_foil_00002.nxs to Mo_foil_00051.nxs
#Time at start=2019-12-17 12:08:56.932
#Time from start (seconds)=129.260314251
#Sample temperature (C)=nan
# Normalization -------------
# pivot spectrum: Standard_Mo_s3_100_He_Mo_0001_av1200_00001.txt
# E0=20000.0   Eshift=4.20721580259
# E0_pivot = 20000.0
# pre-edge params: from E0_pivot-250.0 to E0_pivot-60.0
# pre-edge range: [19750.0, 19940.0]
# post-edge params: from E0_pivot+150.0 to E0_pivot+1300.0
# post-edge range: [20150.0, 21300.0]
# I jump at E0_pivot = 1.11007626724
# shifted energy	normalized	reference	ref.derivative
     20007.5    0.6298828     1.146796   0.05465176
       20008    0.6556301      1.17474   0.05695096
     20008.5    0.6825005      1.20368   0.05991465
       20009    0.7107355     1.234081   0.06302324
     20009.5    0.7407878     1.266626   0.06671053
       20010    0.7725114     1.300787   0.07068111
     20010.5    0.8058112     1.337101   0.07392329
       20011    0.8401915     1.375443   0.07609185
     20011.5    0.8746016     1.414472   0.07614411
       20012    0.9084396     1.452971    0.0727856
     20012.5    0.9399755     1.489389   0.06695146
       20013    0.9672246     1.521015   0.05888539
     20013.5    0.9907332     1.548375   0.04953412
       20014      1.00977     1.570741   0.04025528
     20014.5     1.024862     1.588457   0.03082886
       20015     1.035821     1.601525   0.02129708
     20015.5     1.042917     1.610033   0.01202102
       20016      1.04574     1.613336  0.002749416
     20016.5     1.044796     1.612499 -0.005947083
       20017     1.040081     1.607024  -0.01351573
     20017.5     1.032286     1.598139   -0.0199572
       20018     1.021917     1.586304  -0.02403483
     20018.5     1.009874     1.572585  -0.02600457
       20019    0.9975511     1.558954  -0.02566093
     20019.5     0.985631      1.54613   -0.0233598
       20020    0.9753926     1.534982  -0.01950493
     20020.5    0.9672157     1.525865   -0.0145846
       20021    0.9618799     1.519945 -0.009001163
     20021.5    0.9592261      1.51696 -0.003190733
       20022    0.9593686      1.51698  0.002031952
     20022.5    0.9619558     1.519484  0.006640956
       20023    0.9662871     1.524008   0.01001766
     20023.5    0.9718728     1.530242    0.0122278
       20024     0.978028     1.537015   0.01321655
     20024.5    0.9842322     1.543939    0.0129554
       20025    0.9900818     1.550442   0.01189446
     20025.5    0.9953509     1.556153   0.01005492
       20026    0.9995992     1.560804  0.007926073
     20026.5     1.002825     1.564049  0.005773609
       20027     1.005071     1.566294  0.003679255
     20027.5     1.006326       1.5677  0.001922115
       20028     1.006845     1.568163 0.0005119676
     20028.5     1.006774     1.567893 -0.0004059697
       20029     1.006435     1.567318 -0.0007448298
     20029.5     1.006023     1.566888 -0.0005813505
       20030     1.005724     1.566673 -4.836845e-05
     20030.5     1.005804     1.566731 0.0005832057
       20031     1.006329     1.567221  0.001508165
     20031.5     1.007481     1.568055  0.002777867
       20032     1.009302     1.569689  0.004089442
     20032.5     1.011724     1.572286  0.005756463
       20033     1.014786       1.5754  0.007322164
     20033.5     1.018597     1.579568  0.008563372
       20034     1.022921     1.584334  0.009701248
     20034.5     1.027621     1.589413   0.01036031
       20035     1.032539     1.594802   0.01080366
     20035.5     1.037621     1.600288   0.01112934
       20036     1.042775     1.605941   0.01126084
     20036.5     1.047932     1.611672    0.0113363
       20037     1.053061     1.617324   0.01143341
     20037.5     1.058296     1.622961   0.01154235
       20038       1.0636     1.628808   0.01177495
     20038.5     1.069074     1.634757   0.01210696
       20039      1.07473     1.640874    0.0124224
     20039.5     1.080521     1.647175   0.01273366
       20040     1.086428     1.653653   0.01280734
     20040.5     1.092328     1.660224   0.01256486
       20041     1.098198     1.666489   0.01201943
     20041.5     1.103603     1.672305   0.01078959
       20042     1.108352     1.677691  0.009005551
     20042.5     1.112107     1.681803  0.006538296
       20043      1.11469       1.6845   0.00339327
     20043.5     1.115714     1.685381 -0.0001438651
       20044      1.11516     1.684478 -0.004102937
     20044.5      1.11275     1.681515 -0.007941268
       20045     1.108503     1.676294  -0.01163899
     20045.5     1.102614     1.669499  -0.01491512
       20046     1.095262       1.6612  -0.01728858
     20046.5     1.086974     1.651685  -0.01909756
       20047     1.078128     1.641717  -0.02021228
     20047.5     1.068858     1.631304  -0.02060264
       20048     1.059517     1.620775  -0.02068734
     20048.5     1.050352      1.61048  -0.02005024
       20049     1.041435     1.600342  -0.01875374
     20049.5     1.033269     1.591203  -0.01720659
       20050     1.026056     1.583268  -0.01534227
     20050.5     1.019657     1.576067  -0.01362548
       20051     1.014048     1.569657  -0.01205751
     20051.5     1.009104     1.563952   -0.0105189
       20052     1.004843     1.559153 -0.009037763
     20052.5     1.001227     1.555029 -0.007565403
       20053     0.998253     1.551582 -0.006046778
     20053.5    0.9959385     1.548821 -0.004476926
       20054    0.9943821     1.547059 -0.003029494
     20054.5    0.9934261     1.546075 -0.001604888
       20055    0.9930603     1.545523 -0.0004963981
     20055.5    0.9931445     1.545612 0.0004614535
       20056    0.9937772     1.546067  0.001568232
     20056.5    0.9949012     1.546998  0.002479297
       20057    0.9964687     1.548659  0.003424575
     20057.5    0.9983693      1.55057  0.004295887
       20058     1.000668     1.552916  0.004900368
     20058.5     1.003173      1.55559  0.005574754
       20059     1.005807      1.55846  0.005942688
     20059.5     1.008563      1.56172  0.005993181
