# Sample I1 = col 7  I2= col 8, mu = ln(I1/I2)
# Energy, Theta, XMU, FLUO, REF, FLUO_RAW, I0, I1, I2, I3
1.142040332031250000e+04 1.642112541198730469e+01 -7.529535293579101562e-01 2.029324132757029417e+02 1.606506705284118652e-01 1.953327575028361025e+02 2.948814153671264648e+00 6.261104583740234375e+00 5.331891059875488281e+00 0.000000000000000000e+00
1.142090136718750000e+04 1.642038917541503906e+01 -7.531890273094177246e-01 2.132067149043185168e+02 1.609871387481689453e-01 2.048722605864014099e+02 2.948178529739379883e+00 6.261229515075683594e+00 5.330203533172607422e+00 0.000000000000000000e+00
1.142139160156250000e+04 1.641966438293457031e+01 -7.533556818962097168e-01 2.139627954642834027e+02 1.608247458934783936e-01 2.059271080848112092e+02 2.947644948959350586e+00 6.261139392852783203e+00 5.330992698669433594e+00 0.000000000000000000e+00
1.142188964843750000e+04 1.641892814636230469e+01 -7.534481883049011230e-01 2.105943685260385507e+02 1.607748121023178101e-01 2.028129135592112959e+02 2.948530197143554688e+00 6.263599395751953125e+00 5.333353519439697266e+00 0.000000000000000000e+00
1.142239648437500000e+04 1.641818046569824219e+01 -7.537988424301147461e-01 2.124497297771296473e+02 1.607276201248168945e-01 2.049583674005664307e+02 2.946939945220947266e+00 6.262416839599609375e+00 5.332598209381103516e+00 0.000000000000000000e+00
1.142290039062500000e+04 1.641743469238281250e+01 -7.540900707244873047e-01 1.968387963639720226e+02 1.607240587472915649e-01 1.896494256401918790e+02 2.947543859481811523e+00 6.265524387359619141e+00 5.335263252258300781e+00 0.000000000000000000e+00
1.142340234375000000e+04 1.641669273376464844e+01 -7.543658018112182617e-01 2.126627404534693824e+02 1.606328040361404419e-01 2.049400460317533543e+02 2.947203397750854492e+00 6.266528606414794922e+00 5.336605548858642578e+00 0.000000000000000000e+00
1.142390429687500000e+04 1.641595077514648438e+01 -7.547035813331604004e-01 2.157616087431105996e+02 1.607910543680191040e-01 2.076932619768060135e+02 2.946653127670288086e+00 6.267475128173828125e+00 5.336566925048828125e+00 0.000000000000000000e+00
1.142440625000000000e+04 1.641521072387695312e+01 -7.547537684440612793e-01 2.218887966832979828e+02 1.606412231922149658e-01 2.138271988564858646e+02 2.946304321289062500e+00 6.267047882080078125e+00 5.337002754211425781e+00 0.000000000000000000e+00
1.142490429687500000e+04 1.641447257995605469e+01 -7.549410462379455566e-01 1.983255148896491846e+02 1.606122851371765137e-01 1.907281915613657191e+02 2.946601629257202148e+00 6.268854141235351562e+00 5.338695049285888672e+00 0.000000000000000000e+00
1.142540136718750000e+04 1.641374015808105469e+01 -7.551745176315307617e-01 2.228023355235614531e+02 1.607464998960494995e-01 2.145531703005589748e+02 2.945656776428222656e+00 6.268307209014892578e+00 5.337512969970703125e+00 0.000000000000000000e+00
1.142589843750000000e+04 1.641300582885742188e+01 -7.554703354835510254e-01 2.028831812293206838e+02 1.607508659362792969e-01 1.952637470595769855e+02 2.944735050201416016e+00 6.268199920654296875e+00 5.337398529052734375e+00 0.000000000000000000e+00
1.142639941406250000e+04 1.641226577758789062e+01 -7.553372979164123535e-01 2.136558007133166655e+02 1.605835556983947754e-01 2.057391550276678629e+02 2.945477247238159180e+00 6.268945217132568359e+00 5.338926315307617188e+00 0.000000000000000000e+00
1.142690332031250000e+04 1.641152191162109375e+01 -7.557324767112731934e-01 2.014379788900385506e+02 1.608065813779830933e-01 1.935952848245717064e+02 2.944286584854125977e+00 6.268887996673583984e+00 5.337687015533447266e+00 0.000000000000000000e+00
1.142740429687500000e+04 1.641078186035156250e+01 -7.558655142784118652e-01 2.159946365411863951e+02 1.605755388736724854e-01 2.082542606896513746e+02 2.943517208099365234e+00 6.268084049224853516e+00 5.338235378265380859e+00 0.000000000000000000e+00
1.142789746093750000e+04 1.641005325317382812e+01 -7.560241222381591797e-01 2.145422570213865754e+02 1.604662984609603882e-01 2.065392513669735024e+02 2.943750381469726562e+00 6.269574642181396484e+00 5.340088367462158203e+00 0.000000000000000000e+00
